id	prev_status
00c26116-2899-5b72-b52c-93a2d406a6eb	unverified
00c290f1-23de-5010-86bf-3be1d828fd17	unverified
00c2b7db-ca68-5858-8a04-d642f0a646be	unverified
00c36065-a1d3-5243-a2d2-b5cd13975ceb	unverified
00c3c2ec-4ead-5495-8d27-3f7c3a3a59f8	unverified
00c3f3ba-70e1-5fc1-9eb6-acd85e3516b4	unverified
00c4f6b1-d3c4-579b-86b1-23e60670cbd7	unverified
00c5e5fe-2b95-521d-ba18-6349fdcdfe6f	unverified
00c7b923-11e0-5683-9728-a2dfa3924a93	unverified
00c7da8c-7b1a-5a55-8416-ece0c55a5bf1	unverified
00c84eef-6aa0-5814-be0a-f230f8b2245b	unverified
00c8ae0b-83c3-574d-b7a3-c9330318c829	unverified
00c8e87d-9ba7-5248-bee5-4901f000beb8	unverified
00c9dd9b-d2ce-570e-bb5e-57e885d364ee	unverified
00cae180-da7b-5ea4-a421-642e7146c302	unverified
00cc257a-9f5e-5b2b-b6f2-5c3b001f064f	unverified
00cc433a-ef88-5ffa-9e13-71671fb0327b	unverified
00cc4834-152d-5b25-b27d-a8619ba94e6e	unverified
00cc5cb0-117f-506d-8f27-25092171b6cc	unverified
00ccdbc3-e8db-51da-b65b-580c7ff209bc	unverified
00cf75e3-12ba-552f-8cde-3a9a5a6d6dc6	unverified
00d03d3b-59a4-5784-ac50-c3e9589309b7	unverified
00d0426b-4083-54d1-9a9b-c698ad7be0c6	unverified
00d0a689-5605-59c5-87a8-76eba4623104	unverified
00d2308a-3f12-512b-a7d1-13ce6c0609e1	unverified
00d36c6b-c745-5794-bfb8-61d4226742a4	unverified
00d3a07a-ab67-570f-9b2a-4b826bac0e66	unverified
00d437f9-be3c-5cd9-a42f-486a6be76118	unverified
00d5f969-7981-51b3-8b8e-a298d20b277b	unverified
00d69bf0-6691-5a4d-904d-9e9a65e10e88	unverified
00d8a333-fc68-5364-a426-2479bcf261f1	unverified
00d91b3f-ee84-58e8-8326-9fac473d6812	unverified
00da8926-3ca0-5f02-bc35-9f8047a86923	unverified
00db1d2c-2482-59ef-bbd0-58a0cd0e7895	unverified
00dcce33-d9f7-56dd-ba4f-04b76dbb87b1	unverified
00dd2714-acf2-5156-ad9d-3e3dab844376	unverified
00dd3fc3-3b83-57a8-9b2d-7df8f836e3e0	unverified
00ddbb23-20fc-51b3-98f8-edf982cc98f2	unverified
00ddc0ed-b6fd-5385-bc58-42a595a18653	unverified
00ddd54e-b6e5-568a-9b4f-1bcd9b4831c8	unverified
00ddf4cf-0c68-58bd-9630-e31ca836334f	unverified
00df238b-c88b-5011-a95e-6fc1da3e6d11	unverified
00e0277e-e660-5c44-a6e3-f349d5f123fd	unverified
00e07547-20e4-5852-9500-094752593f46	unverified
00e0e05a-25d4-5220-8e4b-fb5695c2afed	unverified
00e5353f-1135-5501-9fb7-5d60dc8853bb	unverified
00e5825b-0d97-5940-8369-0e9423dd1ccc	unverified
00e6119e-ae5f-5e83-8875-a5937542c71e	unverified
00e62f81-c2aa-51e9-80fc-ab90c85d9c02	unverified
00e740fb-a341-5e8c-a378-e35c7233a76a	unverified
00e769a6-5078-5c3f-8d38-32207cb3afb8	unverified
00e7a398-bec7-5d1d-bed3-6a007bacfffa	unverified
00e87e55-8ecb-5e63-8444-5d7d970b2217	unverified
00e91092-f9de-5ddb-b34d-89cbb80c7495	unverified
00e9913e-546b-5b7b-897e-ae353f67de93	unverified
00e9cd2f-c715-5751-b786-9cdb71d8617e	unverified
00ea3be2-9e1b-5b0e-a52b-9163aa673b08	unverified
00ea46f4-c6bf-583b-8aa7-7ac010747a10	unverified
00ea6471-4735-5680-a7e2-217d94a21645	unverified
00ea8047-2527-5e3e-b51a-37d64b7d13b6	unverified
00ea865e-ba21-571a-a67b-b8deb3a0fffc	unverified
00ea8aaf-563e-5183-9174-00601787546f	unverified
00edd087-0bb4-5bf2-8969-92b4c52c3747	unverified
00f06eea-13de-51c4-8d00-32a3c3640a82	unverified
00f0ad78-6450-5caa-8a6f-f910412dc113	unverified
00f0d579-be1d-579c-86b8-f96eee1b1811	unverified
00f165b3-5b56-5655-89e6-f89689813581	unverified
00f19de7-ee1c-552f-99cf-439dd291c15b	unverified
00f1bdea-e145-58d6-b2c0-bfd90226a8d9	unverified
00f21476-6a86-56ff-8d35-49779ba030a4	unverified
00f21cdc-83d1-507b-84e1-9bc528784e28	unverified
00f26de5-840f-5935-a118-01339198e9b0	unverified
00f38dcf-573b-54e6-a9d2-7af28dafbaef	unverified
00f3c571-6f9f-5624-a0f0-0f23e42792e0	unverified
00f3f2aa-f9d3-5f46-9137-a624be33d23d	unverified
00f40af2-37b6-5137-b905-cf6c39239381	unverified
00f43573-bf88-5a25-9f11-cecc5cba0dfd	unverified
00f483b3-9bb1-5cd6-8d0f-91d346fb4264	unverified
00f49d94-242f-51fb-9637-95207aca44ea	unverified
00f50564-c780-5e39-8223-67bc290c05fc	unverified
00f51a35-a33a-5a2f-aa23-7eb54649d510	unverified
